GeneSymbol	D0-DC-n1	D0-DC-n2	D0-DP-n1	D0-DP-n2	D0-DP-n3	D4-DC-n1	D4-DC-n2	D4-DC-n3	D4-DP-n1	D4-DP-n2	D4-DP-n3	D7-DC-n1	D7-DC-n2	D7-DP-n1	D7-DP-n2	D7-DP-n3
1110004F10Rik	4321	4221	9414	7022	6763	5291	5356	4353	5780	8300	6437	4261	4709	7446	8071	8717
1110006O24Rik	37	20	4	18	33	28	10	19	34	12	18	15	19	27	36	57
1110007C09Rik	1461	1446	584	398	342	4049	4322	3354	358	626	532	2237	2168	426	401	478
1110008F13Rik	1977	1977	3982	2119	1754	2673	2585	2375	2012	2382	1796	2737	2583	2239	2387	2747
1110008L16Rik	553	487	981	512	529	387	339	319	653	719	625	459	630	572	733	803
1110008P14Rik	582	554	500	455	399	793	509	473	344	469	432	556	539	367	500	766
1110012L19Rik	555	645	1493	1184	1003	817	652	473	933	927	799	619	706	1334	1750	1919
1110017D15Rik	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0
1110019D14Rik	55	29	41	42	27	58	93	97	50	23	28	78	61	29	49	91
1110020A21Rik	4	19	31	33	19	30	0	6	11	22	22	6	2	57	38	24
1110028F11Rik	0	3	2	0	0	0	0	4	0	2	4	0	0	0	0	1
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1110032A03Rik	527	469	576	376	442	608	429	554	396	272	272	491	533	429	543	668
1110032F04Rik	208	239	700	453	376	229	162	246	560	758	680	113	168	254	345	763
1110034G24Rik	271	203	459	286	265	277	336	204	267	361	297	235	264	302	309	377
1110036E04Rik	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1110037F02Rik	1394	1590	1581	1433	1403	465	1231	1197	2135	1993	2259	950	1564	1011	1858	2593
1110038B12Rik	79	75	283	151	141	146	60	92	140	298	141	72	118	153	170	201
1110038F14Rik	673	669	979	898	913	786	675	534	608	923	732	729	829	874	942	1242
1110046J04Rik	4	4	1	0	2	49	11	9	0	0	2	16	1	0	0	4
1110051M20Rik	194	167	494	242	236	169	319	384	267	396	325	173	193	320	300	314
1110058D11Rik	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	1391	1443	1810	1054	1098	1303	1022	1106	1349	1737	1353	891	936	1165	1189	1550
1110059G10Rik	515	513	628	563	649	528	468	447	584	600	333	721	699	599	823	998
1110065P20Rik	85	82	146	83	94	132	122	105	90	127	101	98	104	116	119	102
1190002F15Rik	310	311	5082	2351	2102	459	275	290	1345	1199	809	401	530	3624	2919	3423
1190002N15Rik	3820	3608	8434	5969	6872	1560	1502	1873	5615	5335	4059	2102	3850	4811	7528	10844
1190005I06Rik	1	2	2	3	5	3	0	2	1	0	0	7	2	4	3	3
1190007I07Rik	243	232	887	323	363	363	371	252	455	718	466	362	275	377	380	458
1200014J11Rik	910	1008	1501	1828	1982	741	788	706	1950	1939	1659	989	1215	1658	2189	2518
1300002E11Rik	638	650	2636	2014	1656	581	540	435	1483	1056	608	409	704	1459	1762	2645
1300017J02Rik	4	0	0	12	0	0	14	0	0	0	0	5	2	0	0	0
1500004A13Rik	12	11	7	13	5	2	9	22	2	3	35	12	7	22	20	10
1500009L16Rik	99	120	1718	793	847	758	488	487	1635	3036	1761	100	208	1516	784	977
1500011B03Rik	343	392	603	457	421	492	548	496	444	466	463	411	463	322	399	561
1500011K16Rik	519	485	427	255	247	542	417	391	219	300	239	562	492	256	234	344
1500012F01Rik	291	284	695	547	385	337	410	208	386	476	313	331	346	595	755	912
1500012K07Rik	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
1500015A07Rik	135	226	142	133	193	71	50	33	158	146	115	78	103	139	172	220
1500015O10Rik	1	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0
1500026H17Rik	0	2	14	11	16	2	0	17	10	4	4	8	0	10	5	10
1600002D24Rik	1	0	8	17	8	0	0	0	3	0	0	7	0	1	12	9
1600002H07Rik	81	76	331	259	201	104	31	143	264	273	203	81	130	311	176	229
1600002K03Rik	322	261	211	186	176	401	402	256	181	329	262	455	307	129	183	158
1600010M07Rik	455	379	0	0	0	671	710	583	6	12	4	430	256	4	0	2
1600012H06Rik	1254	1268	1327	1345	1466	934	1271	1215	1136	695	571	1184	1328	1170	1694	2306
1600014C10Rik	2481	2075	2131	1092	1085	1703	1863	2184	1615	2201	2441	1930	2022	822	1084	1510
1600014C23Rik	2	0	0	0	0	9	5	1	0	0	0	0	0	0	0	0
1600014K23Rik	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	117	149	246	255	231	144	150	122	163	179	170	162	145	231	318	365
1600023N17Rik	2	6	45	10	6	0	0	6	4	0	18	4	0	14	8	26
1600029I14Rik	41	54	0	0	0	51	19	29	0	0	0	93	52	0	0	0
1600029O15Rik	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
1700001C02Rik	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
1700001C19Rik	2	0	13	9	0	20	0	11	0	0	8	4	0	0	4	1
1700001D01Rik	0	4	5	0	2	0	0	4	3	2	1	0	2	0	1	4
1700001G11Rik	35	17	7	9	5	30	0	2	2	12	8	39	16	11	17	8
1700001G17Rik	0	3	22	23	7	0	2	0	9	12	2	3	7	11	19	15
1700001J03Rik	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
1700001K19Rik	0	10	1	4	2	0	2	2	1	1	3	0	0	0	2	4
1700001K23Rik	1	0	0	0	0	0	0	0	1	2	2	1	0	1	1	0
1700001L05Rik	33	32	12	5	5	0	0	19	5	8	9	24	22	4	2	11
1700001L19Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	18	5	49	24	62	0	1	0	101	58	19	4	11	11	4	9
1700001P01Rik	0	0	2	3	7	0	0	0	0	0	7	5	1	3	0	0
1700003D09Rik	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
1700003E16Rik	9	7	0	0	0	21	0	0	0	0	0	21	26	0	0	0
1700003F12Rik	6	0	0	1	0	8	2	14	3	2	2	33	29	0	0	3
1700003G18Rik	3	0	3	0	0	0	0	0	0	10	0	1	0	0	2	0
1700003L19Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	26	3	0	0	1	2	2	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
1700007G11Rik	2	0	8	0	0	26	0	0	0	0	0	0	4	0	0	0
1700007J10Rik	0	2	4	0	2	0	3	0	0	4	0	0	1	2	3	1
1700007K09Rik	0	0	0	0	1	0	0	0	0	0	0	4	0	4	0	0
1700007K13Rik	4	0	0	0	0	43	6	37	5	2	4	4	6	0	0	0
1700007L15Rik	113	80	201	123	84	41	72	72	125	107	81	84	72	57	103	85
1700008J07Rik	48	52	69	45	49	48	54	32	55	41	52	29	79	48	44	65
1700008O03Rik	11	2	10	12	13	3	0	0	5	2	10	14	6	0	6	3
1700009J07Rik	154	141	0	0	0	41	10	28	0	0	0	190	153	4	4	2
1700010D01Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	1	4	0
1700010I14Rik	29	26	106	69	104	26	70	24	78	31	27	38	60	166	159	174
1700011E24Rik	0	3	0	0	0	0	0	6	2	2	2	0	0	0	0	2
1700011H14Rik	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2
1700011I03Rik	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
1700012B07Rik	0	1	2	0	0	0	0	0	2	0	9	2	0	0	0	0
1700012B09Rik	2	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0
1700012D01Rik	6	8	1	4	8	16	4	12	6	2	7	10	12	0	0	9
1700012D14Rik	14	7	24	8	25	10	16	14	3	13	20	14	11	12	20	32
1700012D16Rik	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
1700012H19Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700012L04Rik	0	0	2	1	0	0	0	0	0	3	0	0	0	0	2	3
1700012P22Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1700013G24Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	4	0	0	0	8	0	0	0	0	0	0	4	0	0	0
1700015E13Rik	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0
1700016C15Rik	1	3	5	0	1	0	1	0	0	1	0	0	2	0	2	1
1700016D06Rik	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700016G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700016K19Rik	0	0	0	2	0	1	0	0	4	0	6	0	0	0	0	0
1700016L04Rik	0	0	5	0	0	0	0	0	0	1	1	0	2	0	2	0
1700016L21Rik	0	0	0	0	6	3	0	0	1	3	1	0	0	0	1	0
1700017B05Rik	4061	3719	5269	8648	7445	3383	3979	3277	7077	5051	4035	1913	3577	7155	10644	13015
1700017G19Rik	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700018L02Rik	22	25	28	21	35	21	23	17	19	32	23	25	38	24	32	47
1700019A02Rik	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0
1700019D03Rik	4	12	6	18	11	10	9	10	14	27	20	16	21	14	6	9
1700019E08Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700019G17Rik	75	68	371	143	186	61	70	63	343	141	306	96	107	203	330	371
1700019L03Rik	5	16	62	45	63	1	6	15	31	28	20	4	22	50	39	91
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700019O17Rik	6	0	0	2	10	0	0	0	6	12	0	2	0	12	4	5
1700020A23Rik	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	5
1700020D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1700020I14Rik	1755	1593	3701	2565	2535	2334	1734	1642	2032	2020	1949	1419	1787	2225	2651	3402
1700020L24Rik	13	13	24	21	16	32	4	23	28	42	20	6	18	33	17	19
1700020N01Rik	0	0	8	0	0	0	0	6	0	0	0	6	6	14	3	6
1700020N18Rik	8	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0
1700021F05Rik	312	227	645	778	600	540	410	430	549	750	522	402	515	1065	865	1106
1700021K19Rik	1514	1173	330	544	643	469	765	870	929	808	827	668	1107	591	799	982
1700021N21Rik	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700022H01Rik	1	3	0	1	0	3	0	1	2	6	3	3	0	1	0	0
1700022I11Rik	0	1	0	2	4	0	0	0	0	0	12	0	2	0	10	0
1700023F06Rik	0	4	0	1	0	0	0	2	0	1	0	2	0	0	0	0
1700024F13Rik	9	3	2	3	4	0	0	4	3	8	4	22	13	7	1	1
1700024P16Rik	389	297	0	0	0	0	2	0	0	0	0	34	29	0	0	0
1700025G04Rik	1433	1539	293	524	518	1461	1521	1201	583	698	876	2175	1468	258	214	306
1700025N23Rik	0	0	1	0	0	4	15	0	0	0	0	2	5	0	0	0
1700026D08Rik	0	1	0	0	0	0	19	2	0	0	0	0	0	0	0	0
1700026D11Rik	4	4	8	9	5	0	0	0	4	0	3	2	5	12	7	15
1700026J14Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700026L06Rik	238	271	11	0	4	313	304	274	42	59	29	161	181	0	2	0
1700027F09Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700028B04Rik	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
1700028E10Rik	30	35	69	25	31	13	7	10	44	31	41	4	14	40	44	62
1700028I16Rik	0	0	15	0	0	0	0	0	2	0	0	0	0	0	0	2
1700028J19Rik	37	55	33	21	24	68	21	25	19	56	29	47	41	56	29	39
1700028K03Rik	0	0	0	0	0	5	0	1	1	0	0	0	2	0	2	7
1700028P15Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700029H14Rik	0	0	0	1	3	0	0	1	0	1	7	0	2	0	0	0
1700029I15Rik	5	6	0	3	7	18	2	8	8	4	8	9	17	3	11	14
1700029J07Rik	16	2	12	0	4	5	6	14	14	28	1	0	13	1	4	7
1700029N11Rik	2	1	0	0	0	1	0	0	0	0	0	2	2	0	0	0
1700029P11Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700030C10Rik	33	16	48	40	43	54	18	25	44	62	49	39	31	43	44	53
1700030J22Rik	65	32	28	43	42	27	51	43	7	4	7	42	84	32	47	34
1700030K09Rik	142	109	395	168	202	213	112	120	248	400	253	146	185	138	254	324
1700031P21Rik	0	0	4	0	3	0	0	0	0	0	2	0	0	0	0	0
1700034H15Rik	0	0	1	0	0	7	0	1	0	0	0	0	8	0	0	1
1700034I23Rik	0	1	2	0	0	0	0	0	8	0	0	4	0	0	0	10
1700034J05Rik	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
1700034P13Rik	6	2	2	10	7	3	0	2	3	4	7	5	6	2	3	4
1700037C18Rik	127	180	107	121	112	178	127	99	81	97	113	125	143	113	170	188
1700037H04Rik	635	616	1514	1100	896	1309	1152	970	1023	1433	1017	822	906	1071	929	1101
1700039E15Rik	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
1700040L02Rik	5	4	41	16	18	0	8	20	17	12	37	0	9	11	10	17
1700042G15Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	2	0	0	0	0	2	13	0	0	0	0	0
1700047A11Rik	2	2	1	1	2	0	1	0	4	1	1	2	1	1	3	1
1700047G03Rik	0	2	0	1	1	1	0	0	2	1	0	0	0	0	1	0
1700047M11Rik	0	2	0	0	0	17	16	9	0	0	0	3	1	0	0	4
1700048M11Rik	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
1700048O20Rik	11	13	86	75	56	135	29	43	82	192	123	35	44	62	103	93
1700049G17Rik	78	63	14	23	26	113	15	31	63	4	110	66	50	35	48	73
1700052K11Rik	265	284	422	509	426	108	107	96	336	162	196	146	185	326	449	798
1700056E22Rik	87	73	95	81	58	99	100	37	54	51	38	57	61	105	117	178
1700057G04Rik	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
1700061G19Rik	3	9	3	28	1	70	27	5	18	26	18	16	11	12	3	7
1700063D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1700064M15Rik	4	0	0	0	0	3	0	0	0	1	1	13	0	0	0	0
1700065D16Rik	0	7	8	5	7	3	7	4	2	8	7	1	3	6	8	4
1700065J18Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	0	8	0	0	0	0	0	0	1	0	0	3	0	0	0	0
1700066B19Rik	22	27	252	122	100	92	30	71	173	201	228	17	29	137	118	156
1700066J03Rik	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066M21Rik	274	246	395	486	357	213	70	305	341	329	199	201	339	336	467	650
1700067G17Rik	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067K01Rik	2	3	14	0	6	2	0	3	8	0	1	5	7	3	15	2
1700067P10Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700071M16Rik	71	173	0	0	0	64	63	123	0	0	0	28	12	0	0	0
1700072O05Rik	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0
1700073E17Rik	2	0	3	0	1	2	0	0	0	1	1	0	0	0	0	1
1700074H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700074P13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700084E18Rik	2	8	10	6	9	2	0	2	13	12	9	0	8	17	13	17
1700084J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700086L19Rik	0	0	0	0	4	0	0	0	0	0	2	2	0	12	0	4
1700086O06Rik	14	6	53	47	60	52	50	37	27	45	48	11	27	45	44	30
1700088E04Rik	0	1	7	3	1	0	0	2	0	0	1	0	1	5	2	0
1700092M07Rik	4	8	2	8	6	0	2	0	12	1	4	0	2	4	10	7
1700093K21Rik	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700094D03Rik	17	44	28	46	54	7	47	61	31	34	52	54	56	42	64	124
1700095J12Rik	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
1700096J18Rik	0	1	0	3	2	0	0	0	2	3	0	1	0	0	0	0
1700096K18Rik	214	112	294	252	222	118	163	108	153	86	58	70	125	220	257	313
1700097N02Rik	76	79	890	636	503	172	81	58	335	375	372	74	122	608	644	957
1700099I09Rik	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
1700100I10Rik	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700101E01Rik	0	3	13	5	2	8	7	23	10	2	20	1	3	0	1	6
1700101I11Rik	4	2	0	0	0	0	0	12	8	8	0	11	12	0	2	0
1700102H20Rik	7	6	37	38	26	21	2	13	15	31	19	7	11	14	17	19
1700102P08Rik	6	13	5	14	4	1	15	0	1	27	10	5	13	6	5	6
1700105P06Rik	4	0	4	12	6	0	6	0	1	2	0	0	5	2	4	7
1700108F19Rik	3	3	4	5	0	0	5	0	0	0	0	0	0	0	2	2
1700109H08Rik	4	6	8	15	19	2	4	5	9	1	9	1	3	3	15	21
1700109K24Rik	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700110C19Rik	0	2	0	0	0	0	0	0	0	0	0	4	0	2	1	2
1700110K17Rik	0	3	0	0	0	0	0	0	0	0	1	5	6	0	0	0
1700112E06Rik	39	70	4	0	0	130	131	99	13	9	8	156	155	0	0	4
1700112H15Rik	4	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0
1700112J16Rik	0	0	3	0	2	0	0	0	0	0	0	2	0	8	0	0
1700113A16Rik	103	120	174	322	226	114	154	122	152	123	142	91	139	262	338	535
1700113H08Rik	8	0	0	0	2	0	7	0	0	11	2	0	0	0	0	0
1700120C14Rik	5	4	8	17	10	19	0	1	8	8	5	5	7	11	13	9
1700120K04Rik	11	16	4	2	17	2	0	20	6	8	17	13	14	8	18	9
1700122O11Rik	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
1700123I01Rik	0	0	0	0	1	5	1	8	4	0	0	0	0	0	1	0
1700123J17Rik	0	2	0	16	0	0	0	1	1	1	0	3	6	4	7	12
1700123M08Rik	26	19	30	32	27	32	18	21	28	26	26	17	13	49	34	26
1700123O20Rik	1486	1556	3936	2545	2286	1655	1695	1590	1813	1958	1793	1212	1617	2587	2843	3477
1700124L16Rik	0	0	0	2	4	0	1	1	2	7	3	2	0	0	0	1
1700125G22Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700125H03Rik	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
1700125H20Rik	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
1810006J02Rik	19	38	5	0	0	29	44	23	30	30	48	2	12	0	2	2
1810007D17Rik	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1810009A15Rik	112	83	132	101	64	104	93	107	84	139	106	121	111	102	97	109
1810009J06Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
1810010D01Rik	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
1810010H24Rik	36	17	0	20	7	0	0	10	9	6	18	14	12	19	20	11
1810011H11Rik	38	30	0	0	0	295	275	212	0	26	6	369	313	0	0	0
1810011O10Rik	10	16	17	7	6	420	474	345	38	22	28	286	253	0	4	2
1810012K16Rik	16	9	45	28	40	0	0	17	23	5	9	4	9	8	23	31
1810013A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1810013L24Rik	1520	1530	1224	1210	1204	1666	1804	1670	1148	1154	1132	1170	1784	1060	1674	2223
1810014B01Rik	110	95	681	258	265	221	111	107	184	376	211	78	146	256	309	383
1810018F18Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1810019D21Rik	0	0	0	2	2	0	0	1	1	0	0	1	0	5	4	1
1810020O05Rik	5	4	0	1	0	0	0	0	0	0	0	12	4	0	0	4
1810021B22Rik	109	58	27	24	13	48	25	31	15	13	7	82	59	18	28	38
1810022K09Rik	884	806	1696	776	689	1482	1100	987	941	1395	1118	1032	1038	777	836	995
1810024B03Rik	20	21	48	27	16	31	16	17	10	13	10	27	25	24	23	25
1810026B05Rik	1357	1448	3121	4830	3198	1356	1151	1003	2062	1643	1263	1283	1519	2635	3407	4844
1810026J23Rik	2481	2247	5575	4296	4129	1179	1792	1413	3199	3299	2943	1561	2628	3230	4818	6512
1810030O07Rik	2559	2493	2070	1865	1660	2439	2592	2447	2564	3312	3057	2404	2932	1691	2179	2741
1810032O08Rik	51	52	119	142	96	110	26	69	75	154	79	80	79	89	112	103
1810034E14Rik	228	304	62	99	111	237	175	141	51	226	237	117	128	63	90	92
1810037I17Rik	2670	2415	2132	913	949	3709	2517	2028	1165	2070	1675	3820	2996	1322	1180	1317
1810041H14Rik	51	49	57	20	17	68	31	42	59	114	102	37	19	28	29	49
1810041L15Rik	0	0	0	0	0	0	1	0	0	0	0	6	27	0	4	0
1810043G02Rik	758	778	293	401	297	696	688	699	230	213	205	1142	1151	390	387	507
1810043H04Rik	794	755	1385	679	626	812	706	605	503	723	647	861	760	702	659	984
1810044D09Rik	22	25	20	26	8	41	8	24	16	24	18	22	20	38	22	16
1810046K07Rik	0	0	26	0	0	172	156	73	154	30	4	4	14	4	0	0
1810053B23Rik	0	8	0	0	0	0	0	0	7	8	0	0	0	0	0	0
1810055G02Rik	702	955	351	1198	974	416	528	444	855	668	453	704	841	1276	1175	1634
1810058I24Rik	2025	1846	2210	1698	1384	2814	2450	2056	1535	1917	1680	2066	1898	1944	2061	2254
1810062G17Rik	4	8	11	3	1	0	0	14	8	12	4	3	4	0	0	0
1810062O18Rik	16	12	57	43	40	30	7	18	32	47	24	16	35	55	46	47
1810064F22Rik	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1
1810065E05Rik	195	173	0	0	5	0	42	6	4	6	0	7	3	0	0	0
2010001A14Rik	35	57	163	117	117	72	65	47	102	60	48	22	57	149	157	138
2010001E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
2010005H15Rik	2	0	0	1	0	2	6	0	0	0	1	13	7	3	2	1
2010009K17Rik	0	0	0	1	1	0	0	1	3	0	2	0	0	0	0	3
2010012O05Rik	436	419	438	444	341	415	321	346	314	311	221	509	473	338	399	465
2010016I18Rik	32	35	68	55	28	11	17	19	23	41	45	38	39	24	55	53
2010106C02Rik	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2010107E04Rik	3201	3116	8451	3720	3193	4822	3650	3050	3332	4324	3162	3712	3139	3850	3675	4930
2010107G12Rik	87	56	208	122	102	55	132	150	257	622	393	61	59	177	190	139
2010107G23Rik	4	12	10	4	6	12	0	2	12	27	6	8	10	4	6	6
2010109A12Rik	2	5	33	17	9	7	8	4	5	6	10	4	6	16	24	25
2010109I03Rik	38	60	31	82	52	66	0	12	36	87	40	29	22	82	51	88
2010111I01Rik	491	571	1411	1447	1080	900	840	891	1205	1681	1626	462	817	952	1223	1468
2010204K13Rik	20	9	64	26	46	43	31	36	101	109	102	10	26	25	38	29
2010300C02Rik	56	89	307	354	363	32	96	40	254	108	60	43	130	289	364	414
2010308F09Rik	0	0	0	0	0	0	0	0	1	3	0	2	0	0	1	0
2010310C07Rik	0	1	0	0	0	1	3	0	0	0	1	0	2	0	0	0
2010315B03Rik	397	292	349	413	282	199	494	260	266	345	181	339	418	158	233	316
2010320M18Rik	128	91	152	94	95	116	84	35	102	154	69	135	148	120	110	161
2200002D01Rik	80	43	38	55	45	24	29	21	28	46	29	54	53	65	48	68
2200002J24Rik	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210010C04Rik	17	4	36	36	32	0	34	11	39	0	0	2	8	18	28	26
2210011C24Rik	19	10	10	4	8	13	38	0	2	7	6	31	33	10	3	4
